&Isotopes  &Z=0.0
&H-1       &7.5449e-01
&H-2       &1.4643e-05
&He-3      &4.0712e-05
&He-4      &2.4526e-01
&Li-6      &5.3530e-14
&Li-7      &7.6050e-13
&Be-9      &1.0340e-12
&B-10      &6.4180e-12
&B-11      &2.8560e-11
&C-12      &3.4250e-05
&C-13      &4.1560e-07
&N-14      &1.0590e-05
&N-15      &4.1710e-08
&O-16      &9.6240e-05
&O-17      &3.8130e-08
&O-18      &2.1710e-07
&F-19      &5.6110e-09
&Ne-20     &1.8180e-05
&Ne-21     &4.5750e-08
&Ne-22     &1.4700e-06
&Na-23     &4.0000e-07
&Mg-24     &5.8620e-06
&Mg-25     &7.7330e-07
&Mg-26     &8.8480e-07
&Al-27     &6.4810e-07
&Si-28     &7.4530e-06
&Si-29     &3.9190e-07
&Si-30     &2.6730e-07
&P-31      &7.1060e-08
&S-32      &4.0110e-06
&S-33      &3.2650e-08
&S-34      &1.8900e-07
&S-36      &8.0730e-10
&Cl-35     &6.8210e-08
&Cl-37     &2.3060e-08
&Ar-36     &8.2020e-07
&Ar-38     &1.5740e-07
&Ar-40     &2.6500e-10
&K-39      &3.9000e-08
&K-40      &5.0050e-12
&K-41      &2.9590e-09
&Ca-40     &7.2250e-07
&Ca-42     &5.0630e-09
&Ca-43     &1.0820e-09
&Ca-44     &1.7100e-08
&Ca-46     &3.4280e-11
&Ca-48     &1.6720e-09
&Sc-45     &5.4140e-10
&Ti-46     &3.2320e-09
&Ti-47     &2.9770e-09
&Ti-48     &3.0140e-08
&Ti-49     &2.2570e-09
&Ti-50     &2.2080e-09
&V-50      &1.0150e-11
&V-51      &4.1380e-09
&Cr-50     &8.2650e-09
&Cr-52     &1.6580e-07
&Cr-53     &1.9160e-08
&Cr-54     &4.8580e-09
&Mn-55     &1.0980e-07
&Fe-54     &8.1180e-07
&Fe-56     &1.3220e-05
&Fe-57     &3.1070e-07
&Fe-58     &4.2070e-08
&Co-59     &3.9910e-08
&Ni-58     &5.7110e-07
&Ni-60     &2.2760e-07
&Ni-61     &1.0060e-08
