comp_idx,imf_idx,sn1a_idx,sy_idx,sn1ar_idx,sigma_2,t_1,t_2,infall_1,infall_2,sfe,delta_sfe,imf_upper,mgal,nb,ks,ensemble,wrmse,mae,mape,huber,cosine,log_cosh,fitness,age_meta_fitness,physics_penalty,loss
2,2,0,1,0,0.22893454778418268,0.09248221034952644,0.5152932343354231,0.03964458405934989,8.571809464666297,28.158030931871348,0.21022777768283285,100.28106898599918,9952492342.412249,0.0007685170989853132,0.12584989482307202,0.1291254647494839,0.13990817422780968,0.1129930225367867,2610554.8881692686,0.009787148607879576,0.05437501028122382,0.009691250611198451,0.1291254647494839,0.9318209516194482,1.0,0.1291254647494839
2,2,0,1,2,0.1344581991122638,0.09043707403477057,0.664150709829225,0.04263861112127436,8.56645103588274,27.83353640629045,0.21190372163709467,100.19116470851128,10048291467.474741,0.000777329196950851,0.1260875223083744,0.15388406474348842,0.16714306740051935,0.1380628661626757,3371648.8575701513,0.013968402490027275,0.055137679170392695,0.01380858609051819,0.15388406474348842,0.9408487444087377,1.0,0.15388406474348842
4,2,1,0,2,3.6856183852841653,0.018666294661082532,4.877267489904812,0.04239021264838423,8.848374218711191,15.038831699415564,0.7787812336325836,80.26635438951563,11751529382.610657,0.0014960405950037673,0.1526590590886675,0.16156258683183802,0.1724397688777606,0.13179069206755986,1254149.6073861746,0.014867736945307746,0.07846150551305942,0.014672784537764792,0.16156258683183802,1.2319419407763996,1.0,0.16156258683183802
3,0,1,2,2,8.008412136647477,0.023835149819721207,1.827483536566743,0.05491813586203388,0.8729826537588112,5.733426837064986,0.7800234191071105,87.68634190104954,18057265641.624794,0.0014435518394116098,0.13352461334486587,0.16769329802477073,0.18222328062386428,0.127513523606466,575973.1214130536,0.016602662000661798,0.05724424726519517,0.016285811921899575,0.16769329802477073,1.4181014178050944,1.0,0.16769329802477073
3,0,1,2,2,4.971776113463706,0.041978471832504125,2.9984626824665948,0.031205754968467208,3.2105938711162936,16.550611328207754,0.8274383554697273,83.49095042365246,18362563740.83659,0.0014481694646763508,0.13934809895095146,0.17815214097108478,0.1919809502273759,0.15547646154521236,2150120.646726376,0.01842834262510309,0.08895737270382598,0.018156863881221258,0.17815214097108478,1.2742847654969862,1.0,0.17815214097108478
4,2,1,0,2,3.5556934177775683,0.01885336760048316,4.970133618727607,0.03616083364895528,8.682847241007952,15.06425426751009,0.7791506205725477,79.60690512599885,11960638655.680826,0.0014815425770873906,0.16761770255354536,0.17860811574790733,0.17954751244209918,0.1372133725302512,1496537.919654494,0.01611865461207288,0.08902726230517743,0.015905411844035888,0.17860811574790733,1.2184444413324418,1.0,0.17860811574790733
4,2,1,0,2,3.5556934177775683,0.01885336760048316,4.970133618727607,0.03616083364895528,8.682847241007952,15.06425426751009,0.7791506205725477,79.60690512599885,11960638655.680826,0.0014815425770873906,0.16761770255354536,0.17860811574790733,0.17954751244209918,0.1372133725302512,1496537.919654494,0.01611865461207288,0.08902726230517743,0.015905411844035888,0.17860811574790733,1.2184444413324418,1.0,0.17860811574790733
2,2,1,3,0,0.5847954861268266,0.09310696975885582,2.813401972222543,0.02358501388560307,1.9803205261631398,25.263775986481463,0.828491878946121,99.40324310460261,10098620959.147629,0.0011673647432539642,0.1417214313520735,0.18420355648950565,0.19849448767130948,0.14178678063336106,98717.17911684663,0.019700030817947817,0.0914703208885943,0.019182681151924487,0.18420355648950565,0.9928778067141456,1.0,0.18420355648950565
2,2,1,3,0,0.5834452656306536,0.09283549216671651,2.821651655212487,0.02334398181652569,1.9905230905633724,25.286792732632666,0.830713720127534,99.52760229467096,10087164107.71969,0.0011643169359058514,0.14851126489499278,0.189517611461871,0.20357113486302233,0.1552450911763649,489418.23914689786,0.020720603474709415,0.10535119822830852,0.02023485976298474,0.189517611461871,0.9884886982688244,1.0,0.189517611461871
2,2,1,3,0,0.5848692460732369,0.0917518567773483,2.436816356267124,0.025018076957674655,1.9746442355361757,25.449406128806185,0.8439497166778395,98.85790910350667,10450406477.488043,0.0011608613820818657,0.13999875022873742,0.18951831836746633,0.20417394523526972,0.15078703306541494,647484.2044268645,0.02084349995646746,0.09439185315800414,0.020268735024716756,0.18951831836746633,0.9953586225960198,1.0,0.18951831836746633
2,0,0,3,1,8.567813832291463,0.0818702284477305,9.829953231737434,0.034349381225835564,3.1643209848809044,24.272857401286767,0.6228776497273418,103.33000183813084,16512881225.295816,0.0012745674107919483,0.11341925596962418,0.19264607591738908,0.20630770090912007,0.149810304812322,424725.3813315608,0.02128143372720347,0.11810146825641676,0.020832082650878478,0.19264607591738908,1.3692665326071682,1.0,0.19264607591738908
2,0,0,3,1,7.00374000476061,0.09887815735339076,5.919448955193183,0.0438880369905205,0.84620847742975,13.335756463344318,0.7082482428430659,119.646962314218,13947781547.379488,0.0013470011978299868,0.17443698688204334,0.1991388333403861,0.1963633903752403,0.13059380580551333,18001.931325326736,0.01927929053982951,0.07431369632512852,0.018741705087687514,0.1991388333403861,1.6346126372190615,1.0,0.1991388333403861
4,0,1,0,0,9.229827204970578,0.025700939885719025,8.22356987427579,0.05165119665174096,2.1119032219800173,25.67473497581137,0.5944392383810796,76.0808903834654,14696683742.735668,0.0008212994970226152,0.14844282841684825,0.21025087434447293,0.22880051741351806,0.16318819048896888,1692830.9396046044,0.02617483838434679,0.060433335061786164,0.025474388383533983,0.21025087434447293,1.2614084133151222,1.0,0.21025087434447293
2,2,1,3,0,0.588342723217223,0.09316784502421202,2.8029349700468984,0.023536613665123454,1.9909267030720856,25.231758033517185,0.8271786353584796,99.45334618799255,10119221261.385988,0.001167563450047404,0.16107053878343824,0.2111607272572888,0.2169643674214634,0.1592693568505659,389007.614622849,0.02353676836529789,0.1152362968137236,0.022812046789172456,0.2111607272572888,0.9937895077332024,1.0,0.2111607272572888
2,2,1,3,0,0.6221482630909096,0.09445360744480498,2.942229724036088,0.02190618775914871,2.055817399869189,25.28572520258037,0.8169400932746868,100.77939265792199,10370932746.72137,0.0011673663787102914,0.16095104277789873,0.21531446364160164,0.22178103200069663,0.15827448965341667,465228.1623602968,0.024593413077647012,0.10892002145856294,0.023704548368278944,0.21531446364160164,0.9967847201155785,1.0,0.21531446364160164
2,2,0,1,0,0.5057360654485151,0.06758108745611083,2.6929724891097875,0.03377453782942509,8.557560671432041,27.796129519648133,0.17203016577298108,117.29000550992717,10234510074.938175,0.0007171343271495994,0.2209199774370022,0.2601758140712482,0.2167348212516062,0.16434878282454404,1334769.557062192,0.023486991371482847,0.12887952604182684,0.022968731608445966,0.2601758140712482,0.7740802247722508,1.0,0.2601758140712482
2,1,0,0,2,1.5725978690039404,0.058075730823658106,5.886581287046451,0.08681860830211054,0.8575790958560716,3.295589193419774,0.5114910008633524,120.43272764429813,19116215256.67272,0.000800491520505198,0.26529600956417765,0.292900410955944,0.21499570100651336,0.14390831127359344,100905.02477706701,0.023111575725641043,0.11604889613384262,0.022523382404588316,0.292900410955944,1.383173022016625,1.0,0.292900410955944
